,Actual_GDP,Predict_LE
0,661,68.0
1,2661,69.0
2,4661,69.0
3,6661,70.0
4,8661,70.0
5,10661,71.0
6,12661,71.0
7,14661,72.0
8,16661,72.0
9,18661,73.0
10,20661,73.0
11,22661,74.0
12,24661,74.0
13,26661,75.0
14,28661,75.0
15,30661,76.0
16,32661,76.0
17,34661,77.0
18,36661,77.0
19,38661,78.0
20,40661,78.0
21,42661,79.0
22,44661,79.0
23,46661,80.0
24,48661,80.0
25,50661,81.0
26,52661,81.0
27,54661,82.0
28,56661,82.0
29,58661,83.0
30,60661,83.0
31,62661,84.0
32,64661,84.0
33,66661,85.0
34,68661,86.0
35,70661,86.0
36,72661,87.0
37,74661,87.0
38,76661,88.0
39,78661,88.0
40,80661,89.0
41,82661,89.0
42,84661,90.0
43,86661,90.0
44,88661,91.0
45,90661,91.0
46,92661,92.0
47,94661,92.0
48,96661,93.0
49,98661,93.0
50,100661,94.0
51,102661,94.0
52,104661,95.0
53,106661,95.0
54,108661,96.0
55,110661,96.0
56,112661,97.0
57,114661,97.0
58,116661,98.0
